Textos_espanol,sdg
estos estudios examinaron los crecientes niveles de participación de las mujeres asiáticas en la propiedad de empresas una conclusión interesante de las investigaciones realizadas en el reino unido dhaliwal 1998 y 2007 ram y jones 1998 es que las mujeres asiáticas no están muy representadas en el trabajo por cuenta propia porque hay una tendencia a que algunas empresarias sean invisibles y no se reconozca su existencia estas mujeres ocultas dhaliwal 1998 dicen que es su marido su padre o su hermano quien dirige la empresa y ocultan el alcance de su papel aunque desempeñen un papel fundamental en la gestión de la empresa ,5
los cursos no financiados con tasas no reguladas y mucho más elevadas han crecido en número aunque siguen representando sólo una parte relativamente pequeña de la educación terciaria entre 1995 y 2006 el aumento porcentual del número de estudiantes en todos los niveles fue muy superior a la media de la ocde figura 1 panel a además la proporción de estudiantes matriculados en todos los niveles educativos en relación con la población total es muy alta en comparación con la mayoría de los países de la ocde figura 1 panel b ,4
también persisten las disparidades en materia de emprendimiento ya que solo el 19 de las pequeñas y medianas empresas pyme están dirigidas por mujeres wbc 2013a en todos los sectores de la economãa británica la actividad económica de las mujeres sigue viéndose obstaculizada y su potencial desaprovechado los datos demuestran que la economía se beneficiaría enormemente de una mayor igualdad de género en el lugar de trabajo ,5
por ejemplo los servicios de urgencias tienen que prestar asistencia aunque ya se hayan cubierto las cuotas anuales de determinados servicios por lo que el número de casos de este tipo puede proporcionar alguna indicación de si las cuotas se han fijado adecuadamente el origen y destino final de los pacientes también puede proporcionar una indicación de si la capacidad en los distintos niveles de atención es adecuada tanto en términos de acceso como de calidad de la atención en 2013 había 31 médicos en ejercicio por cada 1 000 habitantes cerca de la media de la ocde de 32 y un ligero aumento con respecto a 2000 cuando había 29 médicos en ejercicio por cada 1 000 habitantes en letonia ,3
de hecho las mujeres siguen siendo desproporcionadamente responsables del trabajo de cuidados no remunerado con un gran potencial para mejorar el cuidado público accesible y asequible de niños yo ancianos ocde 2017i aunque las mujeres de diversos orígenes se encuentran a menudo en el extremo perdedor de la desigualdad estructural de género las normas y estereotipos culturales crean simultáneamente problemas para los hombres y los niños además surgen nuevos retos al tiempo que presentan oportunidades reales de cambio la digitalización las tecnologías disruptivas y los macrodatos generan riesgos adicionales para ampliar la escala de las desigualdades persistentes y crean nuevas formas de brechas ,5
se han destinado numerosos programas de subvenciones a la investigación básica y la comercialización de id pero de forma relativamente poco sistemática la competencia entre los 13 estados malayos para atraer instituciones de investigación y campus de enseñanza superior es intensa la escasez de terrenos en penang y su elevado coste suponen una barrera a la inversión según el ncer 2007 blueprint varios polígonos industriales y parques tecnológicos siguen infrautilizados o desaprovechados la excesiva dependencia del modelo techpush está dificultando la transferencia de conocimientos se ha creado un consejo científico de penang impulsado por la industria para garantizar que penang pueda aplicar su estrategia ,4
además los alumnos de los cursos 9º y 10º tienen una tarea de proyecto obligatoria que les da la oportunidad de completar y presentar un proyecto interdisciplinar el proyecto se evalúa mediante una declaración escrita basada en el contenido el proceso de trabajo y la presentación del trabajo final la evaluación del proyecto se puede indicar en el certificado de fin de estudios ,4
dada la evidencia de que muchos estudiantes en costa rica comienzan la escuela con escasas competencias básicas especialmente en lectura el país también podría considerar adelantar la evaluación de primaria a un curso anterior o añadir una evaluación adicional en los primeros años de primaria comprender mejor dónde y cómo los alumnos empiezan a quedarse atrás permitiría desarrollar ayudas más eficaces para profesores y escuelas reconociendo la importancia de consolidar las habilidades básicas en los primeros grados para el aprendizaje posterior muchos países de la ocde han introducido una evaluación nacional en el segundo por ejemplo francia italia tercer por ejemplo alemania suecia o cuarto grado por ejemplo chile corea de la escuela primaria ocde 2013 una mejora esencial en cualquier grado en costa rica es una mejor información sobre la equidad de los resultados ,4
hasta hace poco sin embargo la cuestión había recibido relativamente poca atención y pocos países han desarrollado políticas sistemáticas para abordarla otra opción es facilitar a las mujeres inmigrantes el acceso a la actividad empresarial se trata de una vía especialmente eficaz para acceder al mercado laboral ofrece la oportunidad de dedicarse a una actividad remunerada que es más flexible y fácil de combinar con el cuidado de los hijos y otros compromisos y en la que las barreras culturales son un obstáculo menor que el empleo regular ,5
cada vez se reconocen más las repercusiones de un medio ambiente degradado sobre la salud y su reducción se considera uno de los principales objetivos de la política los programas y la normativa de protección medioambiental se ha avanzado en el control de la calidad de los principales medios ambientales y en la vigilancia de las enfermedades infecciosas se ha reforzado la capacidad profesional en materia de salud pública y medioambiental con métodos avanzados de vigilancia sanitaria y evaluación de riesgos ,3
formulario único de recogida de datos  datos agregados una estancia de más de 24 horas se considera una lesión grave y menos una lesión leve sin embargo desde 2010 la ansv está trabajando con el ministerio de salud de la nación para vincular los registros hospitalarios y los datos del formulario naranja este proyecto de vinculación se inició como piloto en dos de las provincias más pobladas de argentina con el fin de recopilar datos basados en el mais 3 ,3
dado que estos objetivos se centran en no dejar a nadie atrás a la hora de abordar los problemas medioambientales hay que tener en cuenta la desigualdad y la exclusión entre hombres y mujeres es decir las dimensiones sociales del desarrollo sostenible las diferencias socialmente construidas entre hombres y mujeres son una dimensión importante de la desigualdad y la exclusión y deben abordarse para alcanzar los ods más del 60 de las personas desnutridas o que padecen hambre crónica en el mundo viven en la región asiapacãfico en las zonas rurales y urbanas la variabilidad estacional que hace subir el precio de los alimentos básicos obliga a los hogares a gastar más de sus ingresos en alimentos ,5
el principal instrumento de medición el adult mental health benchmarking toolkit presenta indicadores de resultados en formato de cuadro de mando combinando indicadores estructurales de proceso y de resultados por lo general se entiende que los trastornos leves a moderados como la depresión y la ansiedad no requieren tratamientos altamente especializados administrados por psiquiatras o en régimen de hospitalización en la gran mayoría de los casos por el contrario requieren una sólida atención primaria y comunitaria aunque la atención primaria es en la inmensa mayoría de los casos el primer punto al que acuden las personas que sufren trastornos mentales los médicos de atención primaria no siempre disponen de las competencias y opciones de tratamiento adecuadas para responder eficazmente a las necesidades ,3
los campeones de heforshe están encontrando formas diferentes y creativas de romper el ciclo del daño no se limitan a poner de relieve el problema y a cuestionar las actitudes también están explorando cómo pueden adaptarse los procesos y estructuras establecidos para reducir la violencia y sentar a más mujeres a la mesa cuando se trata de la agenda de paz y seguridad la comunidad internacional ha reconocido que la participación de la mujer es vital para alcanzar y mantener la paz ,5
los esfuerzos deben centrarse en abordar las desigualdades en el acceso a los servicios sanitarios entre regiones asà como entre ciudades y zonas rurales teniendo en cuenta la geografãa del paãs y la baja densidad de población en la planificación de la prestación sanitaria las redes de instalaciones a todos los niveles deberãan reorganizarse de forma compatible con los nuevos modelos de prestación de servicios y en apoyo de los mismos y ajustarse a las tendencias demográficas y los patrones de acceso para este ejercicio un punto de partida podrãan ser los planes maestros de prestación de servicios desarrollados en los últimos años ,3
las mujeres siguen sufriendo un trato desigual y actitudes condescendientes las mujeres polãticas aún no gozan del poder de decisión de sus homólogos masculinos en irak por ejemplo ninguna mujer participó en las negociaciones para alcanzar un gobierno de compromiso tras las elecciones parlamentarias de 2010 y el ministerio de asuntos de la mujer es sólo un gabinete de estado sin presupuesto asignado la sentencia fue seguida el 6 de junio de ese año por otras tres similares en beneficio de otros estudiantes las sentencias impedãan a la universidad negarse a aceptar a mujeres estudiantes en determinados departamentos basándose únicamente en la polãtica de admisión de la universidad ,5
incluso en los países de la ocde considerados con una atención primaria fuerte como el reino unido australia y nueva zelanda una gran proporción de médicos sigue trabajando en solitario en israel un consultorio medio de atención primaria cuenta con el equivalente a 34 médicos generalistas 26 enfermeras 15 auxiliares y la mayoría tiene un director de consulta en los últimos años el reino unido australia francia y suiza han modificado la financiación o proporcionado pagos adicionales a los médicos de cabecera para intentar dar prioridad a estos servicios pero han tenido un éxito limitado a la hora de impulsar un cambio en todo el sistema ,3
considera que el nivel 2 en lectura y matemáticas es el nivel mínimo de competencia necesario para que los alumnos participen plenamente en la sociedad del conocimiento véase la sección definiciones en estonia finlandia y japón al menos el 83 de los alumnos alcanzan el nivel 2 o superior tanto en lectura como en matemáticas mientras que menos del 35 de los alumnos lo hacen en brasil colombia y costa rica sin embargo pisa también muestra sistemáticamente que un alto rendimiento y una mayor equidad no son mutuamente excluyentes figura 2 de hecho poder mejorar el rendimiento de todos los estudiantes independientemente de su origen es necesario para que los países se conviertan en países de alto rendimiento y alcancen las metas del ods 4 ,4
en algunos casos los organismos interdepartamentales horizontales gozan de un estatuto jurídico en las leyes o reglamentos sobre igualdad pero estos mecanismos de coordinación pueden seguir adoleciendo de mandatos ambiguos johan 2010 los puntos focales de los ministerios sectoriales encargados de integrar y coordinar las iniciativas de integración de la perspectiva de género por ejemplo pueden sufrir marginación institucional falta de autoridad e insuficientes conocimientos técnicos ibid para apoyar la puesta en marcha de este proceso de todo el gobierno la ley creó un grupo de coordinación interdepartamental para el gobierno federal los miembros de este grupo son representantes de las administraciones y de las oficinas de los ministros y su secretaría es el instituto para la igualdad de mujeres y hombres ,5
este esfuerzo cobró nuevo impulso e inspiración en 1994 cuando 179 gobiernos se reunieron en el cairo para la conferencia internacional sobre la población y el desarrollo y forjaron un plan de desarrollo sostenible basado en los derechos y opciones individuales y en el logro de la salud sexual y reproductiva para todos ese plan plasmado en un programa de acción no sólo revitalizó el movimiento mundial en pro de los derechos reproductivos sino que también situó al fnuap como custodio del movimiento ,5
los profesores crean mayores conexiones con la comunidad en general y con los ancianos y explicitan cómo lo que se está aprendiendo influye en uno mismo en la familia en la comunidad y en la tierra los profesores son activadores mientras que los alumnos participan activamente en el diseño la aplicación y la medición de las experiencias de aprendizaje las asociaciones gozan de un alto grado de equidad transparencia beneficio mutuo y responsabilidad ,4
sin embargo la prevalencia de niños de 0 a 6 meses con bajo peso aumentó del 69 en 2005 al 84 en 2010 en 2014 el bajo peso al nacer era más frecuente en las zonas rurales sobre todo en la región occidental con un 66 que en las urbanas 38 en ulán bator en 1997 el gobierno aprobó una primera lista de productos químicos tóxicos y peligrosos prohibidos y de uso limitado ,3
los informes de calidad deben basarse en los datos disponibles en un almacén nacional de datos más información al respecto más adelante y referirse a una serie de indicadores como el número de profesores con competencias docentes en las materias que imparten los resultados relativos al rendimiento académico y el bienestar en relación con los indicadores establecidos en la reforma de la folkeskole de 2014 las notas medias correlacionadas con el origen socioeconómico las tasas de transición a la educación secundaria superior y las tasas de inclusión de alumnos con necesidades educativas especiales a efectos de seguimiento los informes de calidad pueden sin embargo revelar información sobre si el municipio o los centros escolares individuales cumplen sus objetivos de rendimiento y cómo evoluciona el rendimiento a lo largo del tiempo los seis municipios visitados por el equipo de revisión de la ocde informaron de que disponen de procedimientos para garantizar el control de calidad de sus escuelas esto suele implicar reuniones anuales con los directores de los centros para debatir los resultados de los alumnos basados en evaluaciones nacionales y municipales y en encuestas a los alumnos yo al personal de los centros ,4
con el telón de fondo de una prolongada falta de fuentes oficiales de información fiable sobre la producción el tráfico y el uso indebido de drogas ilícitas entre los países de la región ha habido varios informes de los medios de comunicación y anecdóticos sobre el uso indebido generalizado de comprimidos falsificados de captagon que contienen anfetamina entre todas las partes implicadas en la violencia armada en la república árabe siria es significativo que por primera vez en seis años el estudio sobre el opio en afganistán 2015 del que se dispone del resumen ejecutivo señala que se ha producido una disminución de la superficie total estimada de cultivo ilícito de adormidera en afganistán que en 2015 ascendió a 183000 hectáreas ha esto representa una disminución en comparación con 2014 cuando el cultivo alcanzó niveles récord con 224000 hectáreas,5
en ambas cámaras legislativas esta cifra alcanzó el 159 en 2000 la unión interparlamentaria registró cero mujeres parlamentarias en varios países entre ellos yibuti jordania kuwait y los emiratos árabes unidos eau5  y los niveles más altos de mujeres como representantes políticas se encontraron en túnez con 15 mujeres 115 e irak con 19 76 unión interparlamentaria 2000 en 2014 cada uno de los países mencionados anteriormente que no contaban con ninguna mujer en el parlamento en 2000 había aumentado estas cifras yibuti aumentó la representación de mujeres en su poder legislativo a 7 127 la representación legislativa femenina de jordania creció a 18 mujeres 12 los emiratos ãrabes unidos tienen ahora 7 mujeres 175 1 mujer 15 ejerce como legisladora en kuwait ,5
en 2011 se revisó la normativa de acreditación de programas para incluir criterios sobre la pertinencia académica y disciplinar kantardjiev y haakstad 2017 en la sección 42 de la normativa se exige a las instituciones de educación superior que describan la pertinencia de cada programa para la vida laboral yo la continuación de los estudios mediante la descripción de las competencias desarrolladas en el programa y el modo en que dichas competencias se ajustan al mercado laboral nord university 2011 la evaluación de la pertinencia de los programas para el mercado laboral suele realizarse mediante el diálogo con los empleadores pero existen dudas sobre la solidez y la validez de este proceso de consulta kantardjiev y haakstad 2017 los programas ahora deben estar profesionalmente actualizados y ser claramente pertinentes para los estudios posteriores yo la vida laboral ministerio de educación e investigación de noruega 2017b,4
por ejemplo las estadãsticas de las cuentas nacionales que incorporan una perspectiva de género tienen en cuenta tanto la contribución de las mujeres como la de los hombres en todos los ámbitos sociales y económicos incluido el trabajo no remunerado la palabra sexo se refiere a las diferencias biológicas entre mujeres y hombres las diferencias biológicas son fijas e inmutables y no varãan entre culturas ni a lo largo del tiempo el género por su parte se refiere a las diferencias construidas socialmente en los atributos y oportunidades asociados al hecho de ser mujer u hombre y a las interacciones y relaciones sociales entre mujeres y hombres,5
la falta de pruebas sólidas de la medición de la seguridad de los pacientes en los entornos de atención primaria y ambulatoria puede explicarse en parte por la naturaleza fragmentada de este entorno descrita en la introducción de hecho las respuestas a la encuesta sugieren que el carácter fragmentado de los sistemas de atención primaria y ambulatoria y la falta de gobernanza general del sistema son el principal obstáculo para la aplicación de medidas e intervenciones de seguridad véase el capãtulo 4 esto significa que la información rara vez puede vincularse estos obstáculos técnicos pueden impedir captar con precisión la imagen completa de la frecuencia y magnitud de los daños sufridos por los pacientes a lo largo de su recorrido,3
los estudios que utilizan la clase ocupacional o el nivel educativo en lugar de la renta como indicador socioeconómico encuentran resultados cualitativamente similares aunque las diferencias en la esperanza de vida son significativamente menores palosuo et al el proyecto teroka pretende desarrollar una base de conocimientos y herramientas para promover la consecución del objetivo del programa de salud pública salud 2015 de reducir las desigualdades en salud an analysis of the recent hospital reform in norwayâ en andresen y gronlie eds ,3
todas las formas de migración laboral estudiantil forzosa etc se necesitan normativas que permitan la reunificación familiar basadas en los derechos humanos la igualdad y la no discriminación para que las mujeres migrantes puedan vivir la vida familiar que elijan la aplicación de los compromisos con perspectiva de género requerirá el reconocimiento de los múltiples papeles que desempeñan las mujeres en la vida pública y familiar la diversidad de familias en las que viven las mujeres y toda la gama de derechos de la mujer,5
sacar a la luz pública la prevalencia del problema es en sí mismo un paso para contrarrestar estos abusos y empoderar a las niñas cabe señalar que la violencia sexual también se ejerce contra los niños sin embargo hasta la fecha se dispone de pocos datos sobre la violencia contra los niños o sobre la experiencia diferencial de las niñas y los niños,5
por ejemplo beckerblease y sohl 2007isj muestran que las mujeres buscan financiación ángel en porcentajes sustancialmente inferiores a los de los hombres pero tienen la misma probabilidad de recibir inversión condicionada a la búsqueda de financiación las diferencias en las aspiraciones también pueden influir es más probable que se asocie a las mujeres con empresas menos intensivas en capital y con esfuerzos de crecimiento menos agresivos kanze et al los datos de estados unidos parecen sugerir que ésta no puede ser toda la explicación de hecho la representación de las mujeres en los programas de mba así como en las titulaciones superiores de ciencias e ingeniería ha sido sustancialmente superior a su representación en los sectores empresariales durante las dos últimas décadas además la infrarrepresentación de las mujeres como empresarias respaldadas por capital riesgo no se corresponde con una infrarrepresentación similar en otros campos profesionales altamente remunerados como la medicina o el derecho ni en empleos con perfiles similares de capital humano como la banca de inversión o la consultoría,5
los pme orientan a las empresas sobre cómo empoderar a las mujeres en el lugar de trabajo el mercado y la comunidad el principio 5 en particular pide que se apliquen prácticas de desarrollo empresarial cadena de suministro y marketing que empoderen a las mujeres los gobiernos suelen ser los principales compradores de productos y servicios en sus países,5
los supervisores están destinados a visitar y supervisar el funcionamiento de las escuelas asesorar a las escuelas y a la autoridad y realizar diversas tareas administrativas y pedagógicas sin embargo las tareas administrativas ocupan la mayor parte de su tiempo sólo los antiguos directores de escuela pueden optar al puesto de supervisor los nombramientos atp sólo se conceden a antiguos profesores las solicitudes son evaluadas y los puestos asignados en cada estado por la comisidn nacional mixta de escalaf6n compuesta por la secretarfa de educacidn publica sep y representantes del sindicato nacional de trabajadores de la educacidn snte sin embargo este mecanismo está influido por criterios sindicales y políticos actualmente se están realizando esfuerzos para cambiar este proceso y hacerlo más transparente,4
en casi todos los paãses y regiones del mundo se ha avanzado en distintos ámbitos hacia la consecución de la igualdad de género y la autonomãa de la mujer sin embargo estos avances han sido desiguales y los logros siguen siendo frágiles en casi ningún lugar se da a los derechos de la mujer la prioridad que merecen al mismo tiempo la resolución 1325 supone un hito en el reconocimiento de la contribución de las mujeres al mantenimiento de la paz y la seguridad y reconoce sus necesidades y preocupaciones especãficas en los conflictos armados y sus consecuencias5 la resolución reconoce que las mujeres no son meras vãctimas sino que también tienen poder de acción y participan activamente en la consolidación de la paz principalmente a través de la diplomacia informal de base en las zonas de conflicto entre las iniciativas que se han desarrollado se encuentran otras cuatro resoluciones del consejo de seguridad6 sobre la violencia sexual en los conflictos y se ha realizado un esfuerzo concertado para desarrollar planes de acción a escala nacional regional y subregional con el fin de acelerar la aplicación de la resolución 1325,5
mientras que la eficacia mide el efecto de un agente terapéutico en condiciones y entornos controlados la efectividad mide el efecto de un tratamiento en condiciones menos controladas en entornos sanitarios del mundo real medir la eficacia es mucho más fácil en pacientes con una sola enfermedad por ello es muy habitual que las personas con múltiples enfermedades crónicas queden excluidas de los ensayos clínicos aleatorizados,3
también tienden a obtener mejores resultados en las evaluaciones cognitivas y lingüísticas cuando la proporción personalniño es mayor además el desarrollo académico parece mejorar con ratios personalniño más altas aunque no hay muchos estudios recientes que hayan investigado este tema huntsman 2008 sylva et al una limitación de la investigación mencionada anteriormente es que la mayoría de los resultados son casi exclusivamente correlacionales y ha habido muy pocos estudios experimentales huntsman 2008 un estudio experimental realizado por chetty et al,4
pero quedan muchos retos por delante actualmente sólo se dispone de datos suficientes y regulares para 10 de los 54 indicadores específicos de género a menos que el género se integre en las estrategias estadísticas nacionales y se le dé prioridad en los procesos regulares de recopilación de datos persistirán la escasez y las lagunas en los datos de género sin un compromiso de alto nivel y sin independencia política los sistemas estadísticos no podrán desempeñar su papel fundamental en el proceso de seguimiento y revisión,5
aún queda mucho por hacer para reducir los tiempos de espera en las consultas externas de los hospitales de otras zonas y el gobierno se ha comprometido a construir un nuevo bloque de consultas externas para aumentar la capacidad de atender la demanda también se está llevando a cabo un ejercicio para mejorar la eficiencia interna en la gestión de los servicios ambulatorios con vistas a reducir los tiempos de espera otros factores que ponen a prueba la capacidad del sistema sanitario son el aumento de la inmigración de trabajadores y pensionistas los turistas que utilizan el sistema sanitario y los cambios en los comportamientos de riesgo de la población,3
la ley destaca la necesidad de que todos los aspectos de estos sistemas de evaluación interna sean transparentes en general existe poca documentación sobre los procesos de evaluación del profesorado diseñados y aplicados a nivel escolar el proyecto de ley se presentó al parlamento en marzo de 2012 y actualmente se está debatiendo a medida que el profesor avanza en la estructura de la carrera profesional tiene acceso a puestos con mayores responsabilidades dentro de los centros escolares,4
el abandono escolar también se redujo en 32 puntos porcentuales más que en las escuelas que no formaban parte del programa las tasas de abandono durante el programa han sido mucho más bajas que la media nacional más del 90 de los graduados de las escuelas brac pasan al sistema formal nath 2009 estas desventajas se reflejaron en el escaso impacto de la supresión de las tasas escolares en la matriculación según una estimación sólo uno de cada seis niños keniatas discapacitados asistía a la escuela tras la supresión de las tasas mulama 2004,4
también puede ser ventajoso acceder a comunidades de difícil acceso o desfavorecidas en las que la carga del riesgo sanitario también puede ser mayor con la llegada de intervenciones sanitarias complejas incluidos regímenes farmacológicos complejos y el aumento de la prevalencia de la multimorbilidad los pacientes tienen ahora más probabilidades que antes de recibir múltiples intervenciones sanitarias de distintos proveedores en distintos momentos para garantizar la seguridad y la eficacia de los pacientes es fundamental que la atención se coordine adecuadamente a lo largo del tiempo,3
en total en comparación con su equivalente un siglo antes la mujer media de la década de 2000 podía esperar vivir casi el doble casarse casi seis años más tarde y estar alfabetizada gracias a 64 años de estudios su nivel de educación se duplicó con creces pasando de 364 años en la década de 1950 justo por debajo de la alfabetización funcional a 764 años en la década de 2000 estas medidas dan una idea de cómo el entorno institucionallegislativo está sesgado en contra de las mujeres y por tanto de la situación jurãdica de las mujeres históricamente los tres paneles presentados en la figura 122 muestran las prácticas sucesorias de género para los bienes inmuebles en 1920 a partir de los datos de murdock 1980 y 2000 a partir del banco mundial pueden observarse sistemas de herencia en los que las hijas reciben partes iguales en algunos paãses europeos en brasil probablemente debido a la tradición de la herencia femenina en portugal y en un puñado de paãses del sur de ãfrica y del sudeste asiático15 en la década de 1980 se produjeron cambios sustanciales,5
a diferencia de los acuerdos anteriores la nueva normativa no estipula la cantidad de tiempo que debe utilizarse para distintos fines como la enseñanza y la preparación las decisiones sobre el uso del tiempo de los profesores y el lugar de trabajo recaen ahora en la dirección del centro y se espera que los profesores trabajen de forma diferente en 35 sistemas el tiempo de enseñanza se especifica contractualmente,4
todas las instituciones de enseñanza superior de galilea con la excepción del colegio académico carmel y la institución académica nazaret son instituciones presupuestarias lo que significa que reciben asignaciones presupuestarias del comité de planificación y presupuesto pbc las escuelas superiores de formación del profesorado no dependen del pbc sino del ministerio de educación las asignaciones directas a los colegios se dividen en tres categorías principales i asignaciones en bloque ii asignaciones asignadas y iii asignaciones de contrapartida,4
el ministerio planea ahora implicarse más a través del proyecto implantación de guías de práctica clínica en la asistencia cubierta por el seguro médico público financiado por la ue y puesto en marcha a finales de 2013 el sistema de auditoría interna de la calidad y el sistema de supervisión de la seguridad de los pacientes son obligatorios por ley pero siguen sin aplicarse no está claro hasta qué punto estas auditorías se traducen en procesos reales de mejora de la atención al paciente,3
los sistemas escolares públicos no empezaron hasta bastante más tarde primero las escuelas primarias y luego la enseñanza secundaria hacia la década de 1880 las universidades australianas se establecieron por primera vez a mediados del siglo xix mientras que la educación infantil aparte de los servicios ofrecidos por guarderías comunitarias y proveedores privados es una mejora relativamente reciente de la oferta educativa australiana en el duodécimo curso el último de la enseñanza secundaria los estudios suelen orientarse a la obtención de un título estatal o territorial reconocido por todas las universidades e instituciones de formación profesional australianas así como por universidades internacionales,4
